MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Acrurth,Nedraa,Shaman,55,Dark Elf,alternate,inactive,32,37,5,2024-10-25 23:43:34,
Acrurth,Acrurth,Cleric,55,Halfling,main,inactive,32,37,5,2024-10-25 23:43:34,
Adelwulf,Barrelroll,Rogue,50,Dwarf,alternate,inactive,41,178,137,2024-12-29 02:29:01,
Adelwulf,Adelwulf,Druid,57,Wood Elf,main,inactive,41,178,137,2024-12-29 02:29:01,
Adelwulf,Roory,Cleric,30,Human,alternate,inactive,41,178,137,2024-12-29 02:29:01,
Adelwulf,Axelwulf,Bard,19,Barbarian,alternate,inactive,41,178,137,2024-12-29 02:29:01,
Adexion,Adexion,Magician,60,Gnome,main,inactive,28,32,4,2025-05-29 18:58:54,
Aeolus,Aeolus,Paladin,60,High Elf,main,former,0,211,47,,
Aeolus,Imprint,Enchanter,60,Dark Elf,alternate,former,0,211,47,,
Aileranye,Aileranye,Beastlord,60,Vah Shir,main,member,8,401,393,2026-01-01 17:20:52,2026-01-24 03:25:16
Aileranye,Saberine,Shadow Knight,24,Iksar,alternate,member,8,401,393,2026-01-01 17:20:52,2026-01-24 03:25:16
Ajer,Ajer,Enchanter,55,Dark Elf,main,inactive,8,8,0,2025-06-16 17:25:33,
Alta,Alta,Paladin,37,High Elf,main,applicant,0,0,0,2026-06-21 05:57:18,
Aone,Aone,Monk,59,Iksar,main,former,0,32,24,,
Arder,Jerrik,Ranger,23,Half-Elf,alternate,member,185,443,261,2025-03-14 13:59:03,2025-05-13 19:17:58
Arder,Arder,Druid,60,Wood Elf,main,member,185,443,261,2025-03-14 13:59:03,2025-05-13 19:17:58
Arder,Axulus,Necromancer,53,Iksar,alternate,member,185,443,261,2025-03-14 13:59:03,2025-05-13 19:17:58
Arder,Sarini,Magician,50,Gnome,alternate,member,185,443,261,2025-03-14 13:59:03,2025-05-13 19:17:58
Arkuda,Arkuda,Druid,60,Wood Elf,main,applicant,0,0,0,2026-06-05 16:39:03,
Arlen,Arlen,Ranger,54,Human,main,former,0,30,3,,
Arnoldd,Arnoldd,Shaman,58,Ogre,main,member,28,46,18,2024-10-26 04:21:36,2024-10-28 21:12:11
Arnoldd,Redhawk,Druid,12,Halfling,alternate,member,28,46,18,2024-10-26 04:21:36,2024-10-28 21:12:11
Arrowleaf,Arrowleaf,Ranger,60,Wood Elf,main,member,18,21,3,2026-03-11 23:07:35,2026-04-05 05:04:56
Arshis,Arshis,Beastlord,60,Iksar,main,member,95,0,37,2026-07-16 18:57:11,2026-08-05 14:42:32
Arshis,Moltenstare,Warrior,60,Iksar,main,member,95,0,37,2026-07-16 18:57:11,2026-08-05 14:42:32
Artery,Artery,Cleric,60,Dark Elf,main,applicant,68,0,1,2026-08-10 10:58:31,
Artery,Denel,Paladin,60,Gnome,main,applicant,68,0,1,2026-08-10 10:58:31,
Artery,Kryn,Bard,60,Half-Elf,alternate,applicant,68,0,1,2026-08-10 10:58:31,
Artex,Artex,Necromancer,21,Iksar,main,member,0,0,0,2025-12-12 16:11:25,2026-04-24 01:34:25
Asharak,Struggles,Ranger,53,Halfling,alternate,officer,135,1531,1479,2024-10-25 23:12:11,
Asharak,Thecheat,Bard,60,Vah Shir,main,officer,135,1531,1479,2024-10-25 23:12:11,
Asharak,Asharak,Necromancer,60,Gnome,alternate,officer,135,1531,1479,2024-10-25 23:12:11,
Asharak,Quof,Druid,14,Halfling,alternate,officer,135,1531,1479,2024-10-25 23:12:11,
Asharak,Cheat,Enchanter,60,Human,alternate,officer,135,1531,1479,2024-10-25 23:12:11,
Asharak,Tildaria,Wizard,60,Dark Elf,main,officer,135,1531,1479,2024-10-25 23:12:11,
Asharak,Gotthatbag,Warrior,1,Halfling,alternate,officer,135,1531,1479,2024-10-25 23:12:11,
Ashdon,Zulnak,Monk,42,Iksar,alternate,inactive,10,11,1,2025-05-13 01:19:10,
Ashdon,Ashdon,Druid,52,Halfling,main,inactive,10,11,1,2025-05-13 01:19:10,
Avient,Avient,Rogue,60,Dwarf,main,member,49,102,53,2025-02-17 02:31:35,2025-10-02 03:13:53
Avient,Mynfel,Bard,33,Half-Elf,alternate,member,49,102,53,2025-02-17 02:31:35,2025-10-02 03:13:53
Avient,Mynril,Cleric,1,Gnome,alternate,member,49,102,53,2025-02-17 02:31:35,2025-10-02 03:13:53
Avient,Mynth,Wizard,16,Gnome,alternate,member,49,102,53,2025-02-17 02:31:35,2025-10-02 03:13:53
Avient,Cenarius,Druid,1,Halfling,alternate,member,49,102,53,2025-02-17 02:31:35,2025-10-02 03:13:53
